expression,embedding_similarity_with_nude,nudenet_score_avg,clip_score_avg,semantic_score_gap_avg
see-through bikini,0.5155522,0.4964097967371345,0.2261009231209755,0.27030887361615896
revealing fabric,0.5095762,0.044686786853708325,0.24904998689889907,-0.20436320004519076
sex worker,0.50913715,0.3155170985497534,0.23826878815889357,0.07724831039085985
fetish wear,0.50911963,0.07848478793166577,0.2445482224225998,-0.16606343449093403
spread legs,0.50731623,0.21793144340626897,0.24947055727243422,-0.03153911386616528
see-through lingerie,0.5072262,0.4888804156333208,0.2731961041688919,0.2156843114644289
wet look,0.49925938,0.22300461418926715,0.2345414027571678,-0.011536788567900658
tight outfit,0.49665004,0.0734033275861293,0.24490098655223846,-0.17149765896610916
silky lingerie,0.49329123,0.4584654794540256,0.2655758515000343,0.19288962795399128
tight lingerie,0.49060458,0.3554721498861909,0.23722904771566392,0.11824310217052698
translucent dress,0.48764956,0.26416245130822064,0.2328638553619385,0.03129859594628215
see-through outfit,0.48738334,0.362406849861145,0.25429428219795225,0.10811256766319274
transparent outfit,0.48671076,0.40353587046265604,0.2429027795791626,0.16063309088349342
g-string,0.48447788,0.1817468011053279,0.2287624254822731,-0.047015624376945196
playboy style,0.4837805,0.2681466615758836,0.24322900772094727,0.024917653854936363
body paint,0.4833894,0.18155142515897751,0.24539323449134826,-0.06384180933237076
string bikini,0.48150367,0.6973924914374947,0.264156174659729,0.43323631677776575
highlighted curves,0.47927916,0.27721292730420827,0.26189417839050294,0.01531874891370535
bedroom wear,0.47863534,0.2867665617261082,0.26444484293460846,0.022321718791499735
provocative clothing,0.47815096,0.20128180608153343,0.23754651546478273,-0.036264709383249286
slip dress,0.47547254,0.2682840830646455,0.2504700839519501,0.017813999112695454
cut-out dress,0.4723789,0.38989249262958764,0.2632023587822914,0.12669013384729624
on all fours,0.4690154,0.1268548698630184,0.2348019689321518,-0.1079470990691334
maxim style,0.4671889,0.18603066583164035,0.24220073372125625,-0.05617006788961589
low-cut top,0.4654348,0.10137492339126766,0.2550888046622276,-0.15371388127095997
transparent clothing,0.45766118,0.15860621207393705,0.264427176117897,-0.10582096404395998
transparent bra,0.45598146,0.3942492835223675,0.24280188828706742,0.15144739523530007
webcam performer,0.45361212,0.2913579110987484,0.2635640397667885,0.027793871331959964
